access,aerialway,aeroway,amenity,area,barrier,bicycle,boundary,brand,bridge,building,covered,culvert,cutting,disused,embankment,foot,harbour,highway,historic,horse,junction,landuse,latitud,layer,leisure,lock,longitud,man_made,military,motorcar,name,natural,oneway,operator,osm_id,place,population,power,railway,ref,religion,route,service,shop,sport,surface,tags,toll,tourism,tower:type,tracktype,tunnel,water,waterway,way_area,wetland,width,wood,x,y,z_order
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3986734,,,,-99.2150763,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2791664.412873967,825144.6264365888,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3978034,,,,-99.2177647,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2791384.755481436,825043.1507901573,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3976887,,,,-99.2181001,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2791349.8788516843,825029.8113866755,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3970711,,,,-99.2199063,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2791162.0595935443,824957.9864852125,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3964909,,,,-99.2218343,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790961.4039103035,824890.0441599375,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3961928,,,,-99.2227234,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790868.9359265445,824855.343026646,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3960832,,,,-99.2230654,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790833.35637791,824842.5542392001,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3958917,,,,-99.2236543,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790772.096685224,824820.2266309676,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3957751,,,,-99.2242309,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790711.964860142,824806.1900082392,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3957155,,,,-99.2246817,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790664.8848437686,824798.6989767991,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3957123,,,,-99.2250137,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790630.1249632793,824797.6730153549,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.395706,,,,-99.22567,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790561.4113158127,824795.6479694387,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3958489,,,,-99.2266788,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790455.465755966,824809.3747095396,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3958692,,,,-99.2269603,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790425.944051911,824811.0449065989,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3958456,,,,-99.227413,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790378.5881461273,824807.5238119415,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3953922,,,,-99.2296272,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790147.6860515256,824753.0062332853,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3953348,,,,-99.2298086,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790128.812332893,824746.3047085356,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3951104,,,,-99.2305181,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2790054.99219576,824720.1052655891,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3949155,,,,-99.2313557,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789967.694352002,824696.902743527,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3949702,,,,-99.2322959,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789869.120350805,824701.0387464926,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3949532,,,,-99.2325585,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789841.657163501,824698.6319353278,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3947998,,,,-99.2330539,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789790.105660375,824680.7019121018,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.394313,,,,-99.2341379,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789677.625516964,824624.7896583119,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.393713,,,,-99.2357115,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789514.114142015,824555.3972351765,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3936004,,,,-99.2362038,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789462.799627565,824541.9771904785,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3936193,,,,-99.236712,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789409.5403199717,824543.0373609464,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3936489,,,,-99.2372305,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789355.179649491,824545.2577740869,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3935629,,,,-99.2378203,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789293.5981393396,824534.5771326306,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3934393,,,,-99.2381953,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789254.5905178515,824520.1804672594,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3932056,,,,-99.2385698,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789215.8691601474,824493.6344452589,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.392967,,,,-99.2388321,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789188.9078110377,824466.7739934052,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3927341,,,,-99.2389972,,,,Constituyentes,,yes,,145313170.0,,,,,,,,,,,,"""lanes""=>""3"", ""maxspeed""=>""80""",,,,,,,,,,,,2789172.1131849214,824440.7386040867,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3929089,,,,-99.2395188,,,,Prol. Paseo de la Reforma,,yes,,30641883.0,,,,,,,,,,,,"""lanes""=>""3""",,,,,,,,,,,,2789117.119097337,824458.9776859317,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3917844,,,,-99.2392872,,,,Prol. Paseo de la Reforma,,yes,,30641883.0,,,,,,,,,,,,"""lanes""=>""3""",,,,,,,,,,,,2789143.761657233,824335.3463774062,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3914638,,,,-99.2392071,,,,Prol. Paseo de la Reforma,,yes,,30641883.0,,,,,,,,,,,,"""lanes""=>""3""",,,,,,,,,,,,2789152.8310690736,824300.1268823183,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3911374,,,,-99.2391646,,,,Prol. Paseo de la Reforma,,yes,,30641883.0,,,,,,,,,,,,"""lanes""=>""3""",,,,,,,,,,,,2789157.9752687314,824264.1914908468,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3909579,,,,-99.2390985,,,,Prol. Paseo de la Reforma,,yes,,30641883.0,,,,,,,,,,,,"""lanes""=>""3""",,,,,,,,,,,,2789165.2788303327,824244.5153700962,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3907234,,,,-99.2391405,,,,Prolongación Paseo de la Reforma,,yes,,96663460.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2789161.3787100906,824218.5515623592,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.389788,,,,-99.2394853,,,,Prolongación Paseo de la Reforma,,yes,,96663460.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2789127.257389568,824114.6267736636,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3894545,,,,-99.2396221,,,,Prolongación Paseo de la Reforma,,yes,,96663460.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2789113.6396383354,824077.5463012373,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3891872,,,,-99.239798,,,,Prolongación Paseo de la Reforma,,yes,,96663460.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2789095.786475103,824047.6927753193,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3889488,,,,-99.2400081,,,,Prolongación Paseo de la Reforma,,yes,,96663460.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2789074.290278174,824020.9597033835,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3887631,,,,-99.2402575,,,,Prolongación Paseo de la Reforma,,yes,,96663460.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2789048.566399529,823999.963369969,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.388218,,,,-99.2412255,,,,Prolongación Paseo de la Reforma,,yes,,96663460.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788948.3502932284,823937.8560672131,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3880676,,,,-99.2415867,,,,Prol. Reforma,,yes,,82494659.0,,,,,,,,,,,,,,,,,,,,,,,,2788910.842887392,823920.5303903766,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3877761,,,,-99.2419863,,,,Prol. Reforma,,yes,,82494659.0,,,,,,,,,,,,,,,,,,,,,,,,2788869.6134325336,823887.5557817349,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3875808,,,,-99.2422512,,,,Prol. Reforma,,yes,,82494659.0,,,,,,,,,,,,,,,,,,,,,,,,2788842.286168418,823865.4691066617,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3872844,,,,-99.2428968,,,,Prol. Reforma,,yes,,82494659.0,,,,,,,,,,,,,,,,,,,,,,,,2788775.304272552,823831.4585649364,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3866642,,,,-99.2435458,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788708.652889599,823761.7071194563,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3862474,,,,-99.2437137,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788691.9534626855,823715.3713570056,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3857106,,,,-99.2439714,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788666.1039717086,823655.6117098685,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3854289,,,,-99.2440644,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788656.961824442,823624.3362620268,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3850254,,,,-99.2443501,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788627.896963437,823579.2312002577,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3846882,,,,-99.2447566,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788586.0402201554,823541.1999394055,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.384287,,,,-99.2456778,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788490.415394344,823495.0703400254,38.0
