tipo,ruta,ubicacion,latitud_oficial,longitud_oficial,posicion,latitud,longitud,leg,stop_id
ECOBUS,BALDERAS - SANTA FE,LUIS BARRAGAN,19.3619,-99.26724,31,19.3619,-99.26724,outbound,5fcdc6d9-cc93-5679-906c-951dd8a39fc5
ECOBUS,BALDERAS - SANTA FE,JUAN O´GORMAN,19.36038,-99.26974,32,19.36038,-99.26974,outbound,39186d39-7ecc-518c-b40b-61fe43c76bda
ECOBUS,BALDERAS - SANTA FE,ENRIQUE DEL MORAL ,19.358729999999998,-99.27215,33,19.358729999999998,-99.27215,outbound,5d41c696-63d0-51cd-b880-1d42534d1837
ECOBUS,BALDERAS - SANTA FE,SAM´S CLUB,19.3567,-99.276,34,19.3567,-99.276,outbound,2822a64f-060d-5012-9db8-91ee3e966294
ECOBUS,BALDERAS - SANTA FE,OFFICE DEPOT ,19.357860000000002,-99.27750999999999,35,19.358185,-99.277318,outbound,15d558f6-cafd-5da4-8e10-6e1e8cbec51e
ECOBUS,BALDERAS - SANTA FE,C.C. SANTA FE,19.36093,-99.27978,36,19.36093,-99.27978,outbound,a5e2b1b9-30ca-5a97-9ced-8415bf80f243
ECOBUS,SANTA FE - BALDERAS,C.C. SANTA FE ,19.36095,-99.27965,1,19.36095,-99.27965,inbound,594c1171-2e76-5e5e-a2b9-182f00cf9012
ECOBUS,SANTA FE - BALDERAS,OFFICE DEPOT ,19.357860000000002,-99.27750999999999,2,19.357860000000002,-99.27750999999999,inbound,d4e2eb9d-802f-5de6-a48a-3cd94bf61669
ECOBUS,SANTA FE - BALDERAS,SAM´S CLUB 1 ,19.35653,-99.2771,3,19.35653,-99.2771,inbound,02bd443c-1de5-53a5-a262-a517a7fa768d
ECOBUS,SANTA FE - BALDERAS,SAM´S CLUB 2,19.35654,-99.27637,4,19.35654,-99.27637,inbound,d796e7c6-6995-5577-b40c-b9cd840f7d52
ECOBUS,SANTA FE - BALDERAS,ENRIQUE DEL MORAL,19.35853,-99.27199,5,19.35853,-99.27199,inbound,e08519ce-75fb-5cb0-b010-eb1374e25514
ECOBUS,SANTA FE - BALDERAS,JUAN O´GORMAN  ,19.359720000000006,-99.26951,6,19.359720000000006,-99.26951,inbound,ba8458ba-32bf-5291-9ef9-874ef9080cf7
ECOBUS,SANTA FE - BALDERAS,LUIS BARRAGAN,19.36124,-99.26714,7,19.36124,-99.26714,inbound,c8e7b64d-681d-5868-9c9f-532b67b371b6
